Score,Serve Team,Set Score,Game Score
13-8,ASU,10,Opponent1
14-8,UW,10,Opponent1
15-8,ASU,10,Opponent1
16-8,ASU,10,Opponent1
17-8,ASU,10,Opponent1
18-8,ASU,10,Opponent1
18-9,ASU,10,Opponent1
19-9,UW,10,Opponent1
20-9,ASU,10,Opponent1
20-10,ASU,10,Opponent1
21-10,UW,10,Opponent1
22-10,ASU,10,Opponent1
23-10,ASU,10,Opponent1
23-11,ASU,10,Opponent1
23-12,UW,10,Opponent1
23-13,UW,10,Opponent1
23-14,UW,10,Opponent1
24-14,UW,10,Opponent1
24-15,ASU,10,Opponent1
25-15,UW,10,Opponent1
1-0,ASU,20,Opponent1
1-1,ASU,20,Opponent1
1-2,UW,20,Opponent1
2-2,UW,20,Opponent1
2-3,ASU,20,Opponent1
3-3,UW,20,Opponent1
4-3,ASU,20,Opponent1
5-3,ASU,20,Opponent1
5-4,ASU,20,Opponent1
5-5,UW,20,Opponent1
6-5,UW,20,Opponent1
6-6,ASU,20,Opponent1
7-6,UW,20,Opponent1
8-6,ASU,20,Opponent1
9-6,ASU,20,Opponent1
9-7,ASU,20,Opponent1
9-8,UW,20,Opponent1
10-8,UW,20,Opponent1
11-8,ASU,20,Opponent1
11-9,ASU,20,Opponent1
12-9,UW,20,Opponent1
12-10,ASU,20,Opponent1
12-11,UW,20,Opponent1
12-12,UW,20,Opponent1
12-13,UW,20,Opponent1
12-14,UW,20,Opponent1
12-15,UW,20,Opponent1
12-16,UW,20,Opponent1
13-16,UW,20,Opponent1
13-17,ASU,20,Opponent1
14-17,UW,20,Opponent1
15-17,ASU,20,Opponent1
15-18,ASU,20,Opponent1
16-18,UW,20,Opponent1
16-19,ASU,20,Opponent1
17-19,UW,20,Opponent1
18-19,ASU,20,Opponent1
18-20,ASU,20,Opponent1
19-20,UW,20,Opponent1
19-21,ASU,20,Opponent1
20-21,UW,20,Opponent1
20-22,ASU,20,Opponent1
21-22,UW,20,Opponent1
22-22,ASU,20,Opponent1
23-22,ASU,20,Opponent1
24-22,ASU,20,Opponent1
24-23,ASU,20,Opponent1
24-24,UW,20,Opponent1
25-24,UW,20,Opponent1
25-25,ASU,20,Opponent1
25-26,UW,20,Opponent1
26-26,UW,20,Opponent1
27-26,ASU,20,Opponent1
28-26,ASU,20,Opponent1
1-0,UW,0,Opponent2
1-1,ASU,0,Opponent2
2-1,UW,0,Opponent2
2-2,ASU,0,Opponent2
3-2,UW,0,Opponent2
3-3,ASU,0,Opponent2
4-3,UW,0,Opponent2
5-3,ASU,0,Opponent2
5-4,ASU,0,Opponent2
5-5,UW,0,Opponent2
5-6,UW,0,Opponent2
6-6,UW,0,Opponent2
7-6,ASU,0,Opponent2
8-6,ASU,0,Opponent2
9-6,ASU,0,Opponent2
10-6,ASU,0,Opponent2
11-6,ASU,0,Opponent2
11-7,ASU,0,Opponent2
12-7,UW,0,Opponent2
13-7,ASU,0,Opponent2
13-8,ASU,0,Opponent2
14-8,UW,0,Opponent2
14-9,ASU,0,Opponent2
14-10,UW,0,Opponent2
14-11,UW,0,Opponent2
14-12,UW,0,Opponent2
15-12,UW,0,Opponent2
15-13,ASU,0,Opponent2
15-14,UW,0,Opponent2
15-15,UW,0,Opponent2
16-15,UW,0,Opponent2
16-16,ASU,0,Opponent2
16-17,UW,0,Opponent2
17-17,UW,0,Opponent2
18-17,ASU,0,Opponent2
19-17,ASU,0,Opponent2
19-18,ASU,0,Opponent2
19-19,UW,0,Opponent2
20-19,UW,0,Opponent2
20-20,ASU,0,Opponent2
21-20,UW,0,Opponent2
22-20,ASU,0,Opponent2
22-21,ASU,0,Opponent2
23-21,UW,0,Opponent2
23-22,ASU,0,Opponent2
24-22,UW,0,Opponent2
24-23,ASU,0,Opponent2
24-24,UW,0,Opponent2
24-25,UW,0,Opponent2
24-26,UW,0,Opponent2
0-1,ASU,1,Opponent2
1-1,UW,1,Opponent2
2-1,ASU,1,Opponent2
3-1,ASU,1,Opponent2
3-2,ASU,1,Opponent2
4-2,UW,1,Opponent2
5-2,ASU,1,Opponent2
6-2,ASU,1,Opponent2
6-3,ASU,1,Opponent2
6-4,UW,1,Opponent2
7-4,UW,1,Opponent2
7-5,ASU,1,Opponent2
8-5,UW,1,Opponent2
9-5,ASU,1,Opponent2
9-6,ASU,1,Opponent2
9-7,UW,1,Opponent2
10-7,UW,1,Opponent2
10-8,ASU,1,Opponent2
10-9,UW,1,Opponent2
11-9,UW,1,Opponent2
12-9,ASU,1,Opponent2
13-9,ASU,1,Opponent2
14-9,ASU,1,Opponent2
15-9,ASU,1,Opponent2
16-9,ASU,1,Opponent2
17-9,ASU,1,Opponent2
18-9,ASU,1,Opponent2
18-10,ASU,1,Opponent2
18-11,UW,1,Opponent2
19-11,UW,1,Opponent2
19-12,ASU,1,Opponent2
20-12,UW,1,Opponent2
21-12,ASU,1,Opponent2
21-13,ASU,1,Opponent2
21-14,UW,1,Opponent2
21-15,UW,1,Opponent2
22-15,UW,1,Opponent2
22-16,ASU,1,Opponent2
22-17,UW,1,Opponent2
22-18,UW,1,Opponent2
22-19,UW,1,Opponent2
23-19,UW,1,Opponent2
23-20,ASU,1,Opponent2
24-20,UW,1,Opponent2
24-21,ASU,1,Opponent2
24-22,UW,1,Opponent2
24-23,UW,1,Opponent2
25-23,UW,1,Opponent2
0-1,UW,11,Opponent2
1-1,UW,11,Opponent2
1-2,ASU,11,Opponent2
2-2,UW,11,Opponent2
3-2,ASU,11,Opponent2
3-3,ASU,11,Opponent2
4-3,UW,11,Opponent2
4-4,ASU,11,Opponent2
4-5,UW,11,Opponent2
5-5,UW,11,Opponent2
5-6,ASU,11,Opponent2
5-7,UW,11,Opponent2
6-7,UW,11,Opponent2
6-8,ASU,11,Opponent2
6-9,UW,11,Opponent2
7-9,UW,11,Opponent2
7-10,ASU,11,Opponent2
7-11,UW,11,Opponent2
7-12,UW,11,Opponent2
8-12,UW,11,Opponent2
8-13,ASU,11,Opponent2
9-13,UW,11,Opponent2
9-14,ASU,11,Opponent2
9-15,UW,11,Opponent2
9-16,UW,11,Opponent2
10-16,UW,11,Opponent2
10-17,ASU,11,Opponent2
10-18,UW,11,Opponent2
10-19,UW,11,Opponent2
10-20,UW,11,Opponent2
11-20,UW,11,Opponent2
12-20,ASU,11,Opponent2
12-21,ASU,11,Opponent2
13-21,UW,11,Opponent2
14-21,ASU,11,Opponent2
14-22,ASU,11,Opponent2
14-23,UW,11,Opponent2
15-23,UW,11,Opponent2
16-23,ASU,11,Opponent2
16-24,ASU,11,Opponent2
17-24,UW,11,Opponent2
18-24,ASU,11,Opponent2
19-24,ASU,11,Opponent2
20-24,ASU,11,Opponent2
21-24,ASU,11,Opponent2
21-25,ASU,11,Opponent2
0-1,ASU,12,Opponent2
0-2,UW,12,Opponent2
1-2,UW,12,Opponent2
1-3,ASU,12,Opponent2
2-3,UW,12,Opponent2
2-4,ASU,12,Opponent2
3-4,UW,12,Opponent2
3-5,ASU,12,Opponent2
4-5,UW,12,Opponent2
4-6,ASU,12,Opponent2
4-7,UW,12,Opponent2
4-8,UW,12,Opponent2
4-9,UW,12,Opponent2
5-9,UW,12,Opponent2
5-10,ASU,12,Opponent2
5-11,UW,12,Opponent2
6-11,UW,12,Opponent2
7-11,ASU,12,Opponent2
8-11,ASU,12,Opponent2
8-12,ASU,12,Opponent2
8-13,UW,12,Opponent2
9-13,UW,12,Opponent2
9-14,ASU,12,Opponent2
10-14,UW,12,Opponent2
10-15,ASU,12,Opponent2
10-16,UW,12,Opponent2
11-16,UW,12,Opponent2
11-17,ASU,12,Opponent2
11-18,UW,12,Opponent2
12-18,UW,12,Opponent2
13-18,ASU,12,Opponent2
13-19,ASU,12,Opponent2
14-19,UW,12,Opponent2
15-19,ASU,12,Opponent2
16-19,ASU,12,Opponent2
17-19,ASU,12,Opponent2
18-19,ASU,12,Opponent2
18-20,ASU,12,Opponent2
18-21,UW,12,Opponent2
19-21,UW,12,Opponent2
19-22,ASU,12,Opponent2
20-22,UW,12,Opponent2
21-22,ASU,12,Opponent2
21-23,ASU,12,Opponent2
22-23,UW,12,Opponent2
22-24,ASU,12,Opponent2
23-24,UW,12,Opponent2
23-25,ASU,12,Opponent2
1-0,UA,0,Opponent1
2-0,UW,0,Opponent1
2-1,UW,0,Opponent1
2-2,UA,0,Opponent1
3-2,UA,0,Opponent1
4-2,UW,0,Opponent1
4-3,UW,0,Opponent1
4-4,UA,0,Opponent1
4-5,UA,0,Opponent1
5-5,UA,0,Opponent1
6-5,UW,0,Opponent1
6-6,UW,0,Opponent1
6-7,UA,0,Opponent1
7-7,UA,0,Opponent1
7-8,UW,0,Opponent1
7-9,UA,0,Opponent1
8-9,UA,0,Opponent1
9-9,UW,0,Opponent1
10-9,UW,0,Opponent1
11-9,UW,0,Opponent1
11-10,UW,0,Opponent1
12-10,UA,0,Opponent1
12-11,UW,0,Opponent1
13-11,UA,0,Opponent1
13-12,UW,0,Opponent1
14-12,UA,0,Opponent1
15-12,UW,0,Opponent1
15-13,UW,0,Opponent1
15-14,UA,0,Opponent1
16-14,UA,0,Opponent1
16-15,UW,0,Opponent1
16-16,UA,0,Opponent1
17-16,UA,0,Opponent1
18-16,UW,0,Opponent1
19-16,UW,0,Opponent1
19-17,UW,0,Opponent1
20-17,UA,0,Opponent1
21-17,UW,0,Opponent1
21-18,UW,0,Opponent1
22-18,UA,0,Opponent1
22-19,UW,0,Opponent1
23-19,UA,0,Opponent1
24-19,UW,0,Opponent1
24-20,UW,0,Opponent1
24-21,UA,0,Opponent1
25-21,UA,0,Opponent1
1-0,UW,10,Opponent1
1-1,UW,10,Opponent1
2-1,UA,10,Opponent1
2-2,UW,10,Opponent1
2-3,UA,10,Opponent1
3-3,UA,10,Opponent1
3-4,UW,10,Opponent1
4-4,UA,10,Opponent1
5-4,UW,10,Opponent1
6-4,UW,10,Opponent1
6-5,UW,10,Opponent1
7-5,UA,10,Opponent1
7-6,UW,10,Opponent1
8-6,UA,10,Opponent1
8-7,UW,10,Opponent1
8-8,UA,10,Opponent1
8-9,UA,10,Opponent1
9-9,UA,10,Opponent1
9-10,UW,10,Opponent1
9-11,UA,10,Opponent1
9-12,UA,10,Opponent1
10-12,UA,10,Opponent1
11-12,UW,10,Opponent1
11-13,UW,10,Opponent1
11-14,UA,10,Opponent1
12-14,UA,10,Opponent1
13-14,UW,10,Opponent1
13-15,UW,10,Opponent1
14-15,UA,10,Opponent1
15-15,UW,10,Opponent1
15-16,UW,10,Opponent1
15-17,UA,10,Opponent1
15-18,UA,10,Opponent1
16-18,UA,10,Opponent1
17-18,UW,10,Opponent1
18-18,UW,10,Opponent1
19-18,UW,10,Opponent1
19-19,UW,10,Opponent1
20-19,UA,10,Opponent1
20-20,UW,10,Opponent1
21-20,UA,10,Opponent1
22-20,UW,10,Opponent1
23-20,UW,10,Opponent1
24-20,UW,10,Opponent1
25-20,UW,10,Opponent1
1-0,UA,20,Opponent1
1-1,UW,20,Opponent1
2-1,UA,20,Opponent1
2-2,UW,20,Opponent1
2-3,UA,20,Opponent1
3-3,UA,20,Opponent1
3-4,UW,20,Opponent1
3-5,UA,20,Opponent1
4-5,UA,20,Opponent1
5-5,UW,20,Opponent1
5-6,UW,20,Opponent1
5-7,UA,20,Opponent1
6-7,UA,20,Opponent1
6-8,UW,20,Opponent1
7-8,UA,20,Opponent1
7-9,UW,20,Opponent1
8-9,UA,20,Opponent1
8-10,UW,20,Opponent1
9-10,UA,20,Opponent1
10-10,UW,20,Opponent1
10-11,UW,20,Opponent1
11-11,UA,20,Opponent1
11-12,UW,20,Opponent1
12-12,UA,20,Opponent1
12-13,UW,20,Opponent1
13-13,UA,20,Opponent1
13-14,UW,20,Opponent1
13-15,UA,20,Opponent1
14-15,UA,20,Opponent1
15-15,UW,20,Opponent1
16-15,UW,20,Opponent1
17-15,UW,20,Opponent1
17-16,UW,20,Opponent1
17-17,UA,20,Opponent1
17-18,UA,20,Opponent1
17-19,UA,20,Opponent1
18-19,UA,20,Opponent1
18-20,UW,20,Opponent1
19-20,UA,20,Opponent1
19-21,UW,20,Opponent1
19-22,UA,20,Opponent1
20-22,UA,20,Opponent1
21-22,UW,20,Opponent1
21-23,UW,20,Opponent1
22-23,UA,20,Opponent1
22-24,UW,20,Opponent1
23-24,UA,20,Opponent1
24-24,UW,20,Opponent1
25-24,UW,20,Opponent1
25-25,UW,20,Opponent1
25-26,UA,20,Opponent1
26-26,UA,20,Opponent1
26-27,UW,20,Opponent1
27-27,UA,20,Opponent1
28-27,UW,20,Opponent1
29-27,UW,20,Opponent1
0-1,UA,0,Opponent2
0-2,UA,0,Opponent2
0-3,UA,0,Opponent2
0-4,UA,0,Opponent2
0-5,UA,0,Opponent2
0-6,UA,0,Opponent2
1-6,UA,0,Opponent2
1-7,UW,0,Opponent2
2-7,UA,0,Opponent2
2-8,UW,0,Opponent2
3-8,UA,0,Opponent2
4-8,UW,0,Opponent2
4-9,UW,0,Opponent2
4-10,UA,0,Opponent2
5-10,UA,0,Opponent2
6-10,UW,0,Opponent2
7-10,UW,0,Opponent2
7-11,UW,0,Opponent2
7-12,UA,0,Opponent2
8-12,UA,0,Opponent2
8-13,UW,0,Opponent2
9-13,UA,0,Opponent2
9-14,UW,0,Opponent2
9-15,UA,0,Opponent2
10-15,UA,0,Opponent2
10-16,UW,0,Opponent2
11-16,UA,0,Opponent2
12-16,UW,0,Opponent2
13-16,UW,0,Opponent2
14-16,UW,0,Opponent2
14-17,UW,0,Opponent2
15-17,UA,0,Opponent2
16-17,UW,0,Opponent2
16-18,UW,0,Opponent2
16-19,UA,0,Opponent2
16-20,UA,0,Opponent2
16-21,UA,0,Opponent2
17-21,UA,0,Opponent2
17-22,UW,0,Opponent2
18-22,UA,0,Opponent2
18-23,UW,0,Opponent2
19-23,UA,0,Opponent2
19-24,UW,0,Opponent2
19-25,UA,0,Opponent2
0-1,UW,1,Opponent2
1-1,UA,1,Opponent2
2-1,UW,1,Opponent2
2-2,UW,1,Opponent2
2-3,UA,1,Opponent2
3-3,UA,1,Opponent2
3-4,UW,1,Opponent2
3-5,UA,1,Opponent2
4-5,UA,1,Opponent2
4-6,UW,1,Opponent2
4-7,UA,1,Opponent2
5-7,UA,1,Opponent2
5-8,UW,1,Opponent2
5-9,UA,1,Opponent2
5-10,UA,1,Opponent2
6-10,UA,1,Opponent2
7-10,UW,1,Opponent2
8-10,UW,1,Opponent2
9-10,UW,1,Opponent2
10-10,UW,1,Opponent2
11-10,UW,1,Opponent2
12-10,UW,1,Opponent2
13-10,UW,1,Opponent2
13-11,UW,1,Opponent2
14-11,UA,1,Opponent2
15-11,UW,1,Opponent2
16-11,UW,1,Opponent2
17-11,UW,1,Opponent2
17-12,UW,1,Opponent2
18-12,UA,1,Opponent2
18-13,UW,1,Opponent2
19-13,UA,1,Opponent2
20-13,UW,1,Opponent2
20-14,UW,1,Opponent2
21-14,UA,1,Opponent2
22-14,UW,1,Opponent2
22-15,UW,1,Opponent2
23-15,UA,1,Opponent2
23-16,UW,1,Opponent2
24-16,UA,1,Opponent2
24-17,UW,1,Opponent2
25-17,UA,1,Opponent2
0-1,UA,11,Opponent2
1-1,UA,11,Opponent2
1-2,UW,11,Opponent2
2-2,UA,11,Opponent2
2-3,UW,11,Opponent2
2-4,UA,11,Opponent2
3-4,UA,11,Opponent2
3-5,UW,11,Opponent2
4-5,UA,11,Opponent2
4-6,UW,11,Opponent2
5-6,UA,11,Opponent2
5-7,UW,11,Opponent2
5-8,UA,11,Opponent2
6-8,UA,11,Opponent2
7-8,UW,11,Opponent2
8-8,UW,11,Opponent2
8-9,UW,11,Opponent2
9-9,UA,11,Opponent2
9-10,UW,11,Opponent2
9-11,UA,11,Opponent2
10-11,UA,11,Opponent2
10-12,UW,11,Opponent2
11-12,UA,11,Opponent2
11-13,UW,11,Opponent2
12-13,UA,11,Opponent2
12-14,UW,11,Opponent2
12-15,UA,11,Opponent2
12-16,UA,11,Opponent2
12-17,UA,11,Opponent2
13-17,UA,11,Opponent2
14-17,UW,11,Opponent2
15-17,UW,11,Opponent2
16-17,UW,11,Opponent2
17-17,UW,11,Opponent2
17-18,UW,11,Opponent2
18-18,UA,11,Opponent2
19-18,UW,11,Opponent2
20-18,UW,11,Opponent2
20-19,UW,11,Opponent2
21-19,UA,11,Opponent2
21-20,UW,11,Opponent2
22-20,UA,11,Opponent2
22-21,UW,11,Opponent2
22-22,UA,11,Opponent2
23-22,UA,11,Opponent2
23-23,UW,11,Opponent2
24-23,UA,11,Opponent2
24-24,UW,11,Opponent2
24-25,UA,11,Opponent2
25-25,UA,11,Opponent2
25-26,UW,11,Opponent2
25-27,UA,11,Opponent2
1-0,UW,12,Opponent2
1-1,UW,12,Opponent2
2-1,UA,12,Opponent2
2-2,UW,12,Opponent2
2-3,UA,12,Opponent2
2-4,UA,12,Opponent2
3-4,UA,12,Opponent2
3-5,UW,12,Opponent2
4-5,UA,12,Opponent2
5-5,UW,12,Opponent2
6-5,UW,12,Opponent2
6-6,UW,12,Opponent2
7-6,UA,12,Opponent2
8-6,UW,12,Opponent2
9-6,UW,12,Opponent2
9-7,UW,12,Opponent2
9-8,UA,12,Opponent2
9-9,UA,12,Opponent2
10-9,UA,12,Opponent2
11-9,UW,12,Opponent2
11-10,UW,12,Opponent2
11-11,UA,12,Opponent2
11-12,UA,12,Opponent2
12-12,UA,12,Opponent2
13-12,UW,12,Opponent2
13-13,UW,12,Opponent2
14-13,UA,12,Opponent2
14-14,UW,12,Opponent2
15-14,UA,12,Opponent2
15-15,UW,12,Opponent2
16-15,UA,12,Opponent2
17-15,UW,12,Opponent2
17-16,UW,12,Opponent2
17-17,UA,12,Opponent2
18-17,UA,12,Opponent2
18-18,UW,12,Opponent2
19-18,UA,12,Opponent2
20-18,UW,12,Opponent2
21-18,UW,12,Opponent2
21-19,UW,12,Opponent2
22-19,UA,12,Opponent2
23-19,UW,12,Opponent2
24-19,UW,12,Opponent2
